,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
4590,SIMON,672565,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,905.0,below_gl_4_6_yrs,940.0
4591,SIMON,672613,10.0,EL,Free/Reduced,Special Education,Hispanic or Latino,565.0,between_6_yrs_fr,655.0
4592,SIMON,672625,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_1_3_yrs,940.0
4593,SIMON,672637,10.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,below_gl_4_6_yrs,850.0
4594,SIMON,672673,10.0,EO,Free/Reduced,Special Education,Hispanic or Latino,785.0,between_6_yrs_fr,895.0
4595,SIMON,672709,10.0,EO,Free/Reduced,Non-Special Education,Black or African American,1140.0,grade_level,1270.0
4596,SIMON,672721,10.0,EL,Free/Reduced,Special Education,Hispanic or Latino,310.0,foundational_reader,305.0
4597,SIMON,672793,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,885.0,below_gl_4_6_yrs,1000.0
4598,SIMON,672805,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1185.0,grade_level,1110.0
4599,SIMON,672829,10.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,between_6_yrs_fr,845.0
4600,HEALTH,672841,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,between_6_yrs_fr,765.0
4601,MCKINZIE,672877,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,865.0,below_gl_4_6_yrs,865.0
4602,MCKINZIE,672889,9.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1040.0,below_gl_1_3_yrs,960.0
4603,MCKINZIE,672901,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,940.0,below_gl_1_3_yrs,975.0
4604,MCKINZIE,672913,10.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,670.0,between_6_yrs_fr,685.0
4605,MCKINZIE,672925,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,below_gl_4_6_yrs,885.0
4606,MCKINZIE,672961,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,720.0,between_6_yrs_fr,610.0
4607,MCKINZIE,672973,10.0,EL,Free/Reduced,Special Education,Hispanic or Latino,490.0,between_6_yrs_fr,440.0
4608,MCKINZIE,672985,10.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,580.0,between_6_yrs_fr,615.0
4609,HUNTER,673009,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,480.0,between_6_yrs_fr,660.0
4610,HUNTER,673033,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,585.0,between_6_yrs_fr,615.0
4611,HUNTER,673045,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,775.0,below_gl_4_6_yrs,880.0
4612,HUNTER,673057,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,below_gl_1_3_yrs,900.0
4613,HUNTER,673069,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,800.0,below_gl_1_3_yrs,820.0
4614,HUNTER,673081,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,750.0,below_gl_4_6_yrs,720.0
4615,HUNTER,673093,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,595.0,below_gl_4_6_yrs,625.0
4616,HUNTER,673105,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1060.0,college_ready,1100.0
4617,HUNTER,673117,7.0,EO,Free/Reduced,Special Education,Hispanic or Latino,510.0,between_6_yrs_fr,620.0
4618,HUNTER,673129,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,300.0,foundational_reader,360.0
4619,HUNTER,673141,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,445.0,between_6_yrs_fr,520.0
4620,HUNTER,673153,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,290.0,foundational_reader,355.0
4621,HUNTER,673165,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,785.0,below_gl_1_3_yrs,870.0
4622,HUNTER,673177,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,345.0,foundational_reader,510.0
4623,HUNTER,673189,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,270.0,foundational_reader,375.0
4624,HUNTER,673201,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,465.0,between_6_yrs_fr,555.0
4625,HUNTER,673213,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,775.0,below_gl_4_6_yrs,875.0
4626,HUNTER,673225,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,425.0,between_6_yrs_fr,605.0
4627,HUNTER,673237,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,695.0,below_gl_4_6_yrs,735.0
4628,HUNTER,673285,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,635.0,below_gl_4_6_yrs,785.0
4629,HUNTER,673297,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,grade_level,955.0
4630,HUNTER,673309,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,945.0,below_gl_1_3_yrs,900.0
4631,HUNTER,673321,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,435.0,between_6_yrs_fr,530.0
4632,HUNTER,673333,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,700.0,below_gl_4_6_yrs,735.0
4633,HUNTER,673345,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,610.0,below_gl_4_6_yrs,710.0
4634,HUNTER,673357,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,775.0,below_gl_4_6_yrs,770.0
4635,HUNTER,673369,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,500.0,between_6_yrs_fr,460.0
4636,HUNTER,673381,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,430.0,between_6_yrs_fr,450.0
4637,HUNTER,673393,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,below_gl_1_3_yrs,900.0
4638,HUNTER,673405,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,760.0,below_gl_4_6_yrs,955.0
4639,HUNTER,673429,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,785.0,below_gl_1_3_yrs,835.0
4640,HUNTER,673453,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,900.0,below_gl_1_3_yrs,1000.0
4641,HUNTER,673465,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,630.0,below_gl_4_6_yrs,740.0
4642,HUNTER,673477,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,495.0,between_6_yrs_fr,590.0
4643,HUNTER,673489,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,below_gl_4_6_yrs,865.0
4644,HUNTER,673501,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,555.0,between_6_yrs_fr,670.0
4645,HUNTER,673513,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,600.0,below_gl_4_6_yrs,630.0
4646,HUNTER,673525,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,735.0,below_gl_4_6_yrs,785.0
4647,HUNTER,673537,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,540.0,between_6_yrs_fr,665.0
4648,HUNTER,673549,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,335.0,foundational_reader,470.0
4649,HUNTER,673561,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,410.0,foundational_reader,520.0
4650,HUNTER,673597,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,495.0,between_6_yrs_fr,535.0
4651,HUNTER,673609,7.0,TBD,Free/Reduced,Non-Special Education,Hispanic or Latino,695.0,below_gl_4_6_yrs,805.0
4652,HUNTER,673621,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,780.0,below_gl_4_6_yrs,855.0
4653,HUNTER,673645,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,995.0,grade_level,1035.0
4654,HUNTER,673657,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,190.0,foundational_reader,345.0
4655,HUNTER,673669,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,605.0,below_gl_4_6_yrs,725.0
4656,HUNTER,673681,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,290.0,foundational_reader,460.0
4657,HUNTER,673693,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,880.0,below_gl_1_3_yrs,950.0
4658,HUNTER,673705,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,535.0,between_6_yrs_fr,685.0
4659,HUNTER,673717,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,below_gl_1_3_yrs,920.0
4660,HUNTER,673729,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,665.0,below_gl_4_6_yrs,760.0
